Jenjang	Sekolah	Kecematan	< 7	7-12	> 12	< 13	13-15	>15	<16	16-18	>18	
SD	SD NEGERI 132 BABALOHE	Kec. Herlang	5	79	0	-	-	-	-	-	-	
SD	SD NEGERI 5 APPASARENGE	Kec. Ujung Bulu	14	134	4	-	-	-	-	-	-	
SD	SD NEGERI 168 DANGKE	Kec. Bontobahari	9	70	2	-	-	-	-	-	-	
SD	SD NEGERI 347 TABBINGSITOA	Kec. Bontotiro	2	27	0	-	-	-	-	-	-	
SD	SD NEGERI 159 LIMBUA	Kec. Bontobahari	9	79	1	-	-	-	-	-	-	
SD	SD NEGERI 144 BUHUNGLANTANG	Kec. Bontotiro	6	74	2	-	-	-	-	-	-	
SD	SD NEGERI 334 BINUANG	Kec. Bulukumpa	6	37	2	-	-	-	-	-	-	
SD	SD NEGERI 152 JATIA	Kec. Bontotiro	13	72	4	-	-	-	-	-	-	
SD	SD NEGERI 332 PULONGGO	Kec. Bulukumpa	3	24	6	-	-	-	-	-	-	
SD	SD NEGERI 339 DUMPU	Kec. Kajang	6	81	9	-	-	-	-	-	-	
SD	SD NEGERI 126 BORONG	Kec. Herlang	6	55	1	-	-	-	-	-	-	
SD	SD NEGERI 239 SARAJOKO	Kec. Bulukumpa	0	80	2	-	-	-	-	-	-	
SD	SD NEGERI 323 TOKOMBENG	Kec. Ujung Loe	0	118	12	-	-	-	-	-	-	
SD	SD NEGERI 163 ARA	Kec. Bontobahari	18	139	5	-	-	-	-	-	-	
