Jenjang,Sekolah,Kecematan,1,2,3,4,5,6,7,8,9,10,11,12,13
SD,SD NEGERI 283 GANTING,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 128 TURUNGAN BERU,Kec. Herlang,2,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 295 BALONG,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 138 BASOKENG,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 264 BIRA,Kec. Bontobahari,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 351 KAWASAN,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 74 TAMARELLANG,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 310 NANASAYA,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 327 MATEKKO,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 67 LOISA,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 30 GATTARANG,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 185 BIALO,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 180 BENTENGE,Kec. Ujung Bulu,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 147 MATTOANGING 2,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 178 TULEKKO,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 60 TANETE,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 342 PAOREMBAYA,Kec. Herlang,1,1,2,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 324 TAKKUE,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 301 KALUKU,Kec. Kindang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 122 BATUPANYU,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 251 GANTA,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 257 BADDOA,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 81 PALAMPANG,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 186 MATTIROWALIE,Kec. Kindang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 200 DANNUANG,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 199 TANAH KONGKONG,Kec. Ujung Bulu,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 201 GARANTA,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 25 LONRONG,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 58 TANETE,Kec. Bulukumpa,1,1,1,2,1,2,-,-,-,-,-,-,-
SD,SD NEGERI 282 TUBOGA,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 173 MATEKKO,Kec. Gantarang,2,2,2,2,2,1,-,-,-,-,-,-,-
SD,SD NEGERI 325 JATIA,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 63 CILALLANG,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 216 LEMBANNA,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 4 BENTENGE,Kec. Ujung Bulu,1,1,1,1,1,1,-,-,-,-,-,-,-
